NAME,LINK
NASDAQ,/nasdaq?ExchangeID=4
NYSE,/nyse?ExchangeID=5
FRANKFURT,/frankfurt?ExchangeID=6
LONDON,/london?ExchangeID=7
PARIS,/paris?ExchangeID=9
MADRID,/bolsademadrid?ExchangeID=10
MILANO,/borsaitaliana?ExchangeID=11
ZURICH,/zurich?ExchangeID=12
OSLO,/oslo?ExchangeID=14
STOCKHOLM,/stockholm?ExchangeID=15
COPENHAGEN,/copenhagen?ExchangeID=16
HELSINKI,/helsinki?ExchangeID=17
HONGKONG,/hongkong?ExchangeID=21
LISBON,/lisbon?ExchangeID=22
BRUXELLES,/brussels?ExchangeID=23
SAUDIARABIA,/tadawul?ExchangeID=24
AMSTERDAM,/amsterdam?ExchangeID=30
